Listings,Series,Position Title,Number of Positions,Agency,Agency/Sub-Agency,State,Opening Date,Closing Date,Opening Length,GS-09,GS-11,GS-12,GS-13,Promotion Potential
186,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,MN,2017-02-24,2017-03-13,17 days 00:00:00.000000000,False,False,True,False,GS-13
186,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,VA,2017-02-24,2017-03-13,17 days 00:00:00.000000000,False,False,True,False,GS-13
187,301,Staff Assistant,1,Department of Veterans Affairs,Department of Veterans Affairs / Deputy Assistant Secretary for Office of Resolution Management,DC,2017-02-24,2017-03-10,14 days 00:00:00.000000000,True,False,False,False,GS-11
188,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,MO,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
188,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,CA,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
188,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,AR,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
188,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,AL,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
188,1701,Health Care Education Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,OH,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,True,True,False,GS-13
189,260,EEO Counselor,2,Department of Veterans Affairs,Department of Veterans Affairs / Deputy Assistant Secretary for Office of Resolution Management,TX,2017-02-24,2017-03-10,14 days 00:00:00.000000000,True,False,False,False,GS-11
189,260,EEO Counselor,2,Department of Veterans Affairs,Department of Veterans Affairs / Deputy Assistant Secretary for Office of Resolution Management,IL,2017-02-24,2017-03-10,14 days 00:00:00.000000000,True,False,False,False,GS-11
190,343,Management & Program Analyst,10,Department of Homeland Security,Department of Homeland Security / U.S. Secret Service,DC,2017-02-24,2017-03-24,28 days 00:00:00.000000000,True,True,False,False,GS-13
191,0,DOE Employment Information Webinar,11,Department of Energy,Department of Energy / National Nuclear Security Administration,DC,2017-02-24,2017-03-08,12 days 00:00:00.000000000,True,False,False,False,GS-13
191,0,DOE Employment Information Webinar,1,Department of Energy,Department of Energy / National Nuclear Security Administration,NM,2017-02-24,2017-03-08,12 days 00:00:00.000000000,True,False,False,False,GS-13
192,260,EEO Investigator,1,Department of Veterans Affairs,Department of Veterans Affairs / Deputy Assistant Secretary for Office of Resolution Management,WA,2017-02-24,2017-03-10,14 days 00:00:00.000000000,False,True,False,False,GS-12
192,260,EEO Investigator,1,Department of Veterans Affairs,Department of Veterans Affairs / Deputy Assistant Secretary for Office of Resolution Management,CA,2017-02-24,2017-03-10,14 days 00:00:00.000000000,False,True,False,False,GS-12
193,1071,EDITOR,2,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,VA,2017-02-24,2017-03-13,17 days 00:00:00.000000000,False,True,False,False,GS-12
194,301,Alternative Dispute Resolution Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Deputy Assistant Secretary for Office of Resolution Management,DC,2017-02-24,2017-03-10,14 days 00:00:00.000000000,True,False,False,False,GS-12
194,301,Alternative Dispute Resolution Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Deputy Assistant Secretary for Office of Resolution Management,MA,2017-02-24,2017-03-10,14 days 00:00:00.000000000,True,False,False,False,GS-12
195,1071,AUDIOVISUAL PRODUCTION SPECIALIST,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,DC,2017-02-24,2017-03-13,17 days 00:00:00.000000000,True,False,False,False,GS-11
196,343,Program Analyst,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,True,False,False,GS-13
197,343,Management and Program Analyst,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,WI,2017-02-27,2017-03-08,9 days 00:00:00.000000000,True,False,False,False,GS-11
198,343,Mangement Program Analyst,4,Small Business Administration,Small Business Administration,DC,2017-02-24,2017-03-03,7 days 00:00:00.000000000,True,False,False,False,GS-12
199,343,Management and Program Analyst,4,Small Business Administration,Small Business Administration,DC,2017-02-24,2017-03-03,7 days 00:00:00.000000000,False,True,False,False,GS-12
200,343,Management and Program Analyst,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,DC,2017-02-27,2017-03-14,15 days 00:00:00.000000000,False,False,True,False,GS-13
201,301,Grant Program Specialist,5,Department of Justice,"Department of Justice / Offices, Boards and Divisions",DC,2017-02-27,2017-03-10,11 days 00:00:00.000000000,True,False,False,False,GS-13
202,1101,Grant Financial Analyst,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",DC,2017-02-27,2017-03-10,11 days 00:00:00.000000000,True,False,False,False,GS-13
203,301,Grant Program Specialist (Tribal Unit),2,Department of Justice,"Department of Justice / Offices, Boards and Divisions",DC,2017-03-07,2017-03-20,13 days 00:00:00.000000000,True,False,False,False,GS-13
204,2210,IT Management (Web Content Analyst and Developer),1,Department of Homeland Security,Department of Homeland Security / Customs and Border Protection,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,False,True,True,False,GS-13
206,343,Management  and Program Analyst,1,Department of Homeland Security,Department of Homeland Security / Customs and Border Protection,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-12
207,343,Management and Program Analyst,1,Department of Homeland Security,Department of Homeland Security / Customs and Border Protection,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,False,False,True,False,GS-13
208,343,Management and Program Analyst,1,Department of Homeland Security,Department of Homeland Security / Customs and Border Protection,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-13
209,343,Management and Program Analyst,1,Department of Homeland Security,Department of Homeland Security / Customs and Border Protection,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-12
210,1035,Public Affairs Specialist,4,Department of Homeland Security,Department of Homeland Security / Customs and Border Protection,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,False,False,True,False,GS-13
211,855,Electronics Engineer,1,Department of the Interior,Department of the Interior / Bureau of Reclamation,CO,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-11
213,850,Electrical Engineer,1,Department of the Interior,Department of the Interior / Bureau of Reclamation,CO,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-11
214,830,Mechanical Engineer,1,Department of the Interior,Department of the Interior / Bureau of Reclamation,CO,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-11
215,810,"Civil Engineer (Hydraulics) or Physical Scientist, GS-1301",1,Department of the Interior,Department of the Interior / Bureau of Reclamation,CO,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-11
216,810,Civil Engineer (Structural),1,Department of the Interior,Department of the Interior / Bureau of Reclamation,CO,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-11
217,810,Civil Engineer (Geotechnical),1,Department of the Interior,Department of the Interior / Bureau of Reclamation,CO,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-11
218,343,Program Analyst,1,Department of the Interior,Department of the Interior / Bureau of Reclamation,CO,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,False,False,False,GS-11
219,343,Program Analyst (Evaluator),1,Department of Agriculture,Department of Agriculture / Food Safety and Inspection Service,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,True,False,False,GS-12
220,1035,Public Affairs Specialist,1,Department of Agriculture,Department of Agriculture / Food Safety and Inspection Service,DC,2017-02-28,2017-03-21,21 days 00:00:00.000000000,True,True,True,False,GS-12
221,1035,Public Affairs Specialist,1,Department of Agriculture,Department of Agriculture / Food Safety and Inspection Service,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,False,True,False,False,GS-13
222,343,Program Analyst,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-03,3 days 00:00:00.000000000,True,False,False,False,GS-12
223,2210,IT Specialist,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-03,3 days 00:00:00.000000000,True,False,False,False,GS-12
224,130,Foreign Affairs Officer,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-07,7 days 00:00:00.000000000,True,False,False,False,GS-12
226,132,Intelligence Research Specialist (Central Asia and the Caucasus),1,Department of State,Department of State,VA,2017-04-07,2017-04-14,7 days 00:00:00.000000000,False,True,False,False,GS-11
228,130,Foreign Affairs Officer,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-07,7 days 00:00:00.000000000,False,True,False,False,GS-12
229,130,Foreign Affairs Officer,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,False,False,False,GS-12
230,343,Program Analyst,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,False,False,False,GS-12
232,201,Human Resources Specialist (Training),1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-03,3 days 00:00:00.000000000,True,False,False,False,GS-12
234,130,Foreign Affairs Officer,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,False,False,False,GS-12
237,130,Foreign Affairs Officer,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,False,False,False,GS-12
238,130,Foreign Affairs Officer,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-03,3 days 00:00:00.000000000,True,False,False,False,GS-12
240,1720,Education Program Specialist,1,Department of Education,Department of Education / Office of Vocational and Adult Education,DC,2017-04-03,2017-04-21,18 days 00:00:00.000000000,True,True,False,False,GS-12
241,1530,Statistician,1,Department of Education,Department of Education / Federal Student Aid,DC,2017-02-27,2017-03-10,11 days 00:00:00.000000000,True,True,False,False,GS-12
242,801,Engineer,1,Department of Transportation,Department of Transportation / Federal Transit Administration,NY,2017-02-27,2017-03-17,18 days 00:00:00.000000000,True,True,True,False,GS-13
243,1515,Operations Research Analyst,2,Department of Health and Human Services,Department of Health and Human Services / Office of the Secretary of Health and Human Services,DC,2017-02-28,2017-03-08,8 days 00:00:00.000000000,True,True,False,False,GS-13
245,132,CT Identity Intelligence Analyst,1,Office of the Director of National Intelligence,Office of the Director of National Intelligence,VA,2017-02-03,2017-03-03,28 days 00:00:00.000000000,True,False,False,False,GS-12
246,671,Health Systems Specialist,3,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,MA,2017-02-27,2017-03-15,16 days 00:00:00.000000000,True,True,True,False,GS-13
247,343,Program Analyst,1,Department of the Interior,Department of the Interior / Bureau of Reclamation,CO,2017-03-02,2017-03-16,14 days 00:00:00.000000000,True,False,False,False,GS-11
248,360,Equal Opportunity Specialist,1,Department of Transportation,Department of Transportation / Federal Transit Administration,DC,2017-02-28,2017-04-14,45 days 00:00:00.000000000,True,True,False,False,GS-12
249,301,Management and Fiscal Operations Specialist,1,Department of Homeland Security,Department of Homeland Security / DHS Headquarters,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,True,False,False,GS-12
250,301,Program Specialist,2,Department of Homeland Security,Department of Homeland Security / DHS Headquarters,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,True,True,False,False,GS-13
251,201,Human Resources Specialist,1,Office of Personnel Management,Office of Personnel Management,TX,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,False,False,False,GS-12
251,201,Human Resources Specialist,1,Office of Personnel Management,Office of Personnel Management,PA,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,False,False,False,GS-12
251,201,Human Resources Specialist,1,Office of Personnel Management,Office of Personnel Management,VA,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,False,False,False,GS-12
252,685,Public Health Analyst,1,Office of Personnel Management,Office of Personnel Management,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,True,False,False,GS-13
253,343,Program Analyst,1,Office of Personnel Management,Office of Personnel Management,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,False,True,False,False,GS-13
254,343,Management Analyst,4,Department of Veterans Affairs,Department of Veterans Affairs / Immediate Office of the Assistant Secretary for Management,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,True,True,False,False,GS-13
255,343,Program Analyst,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,True,False,False,GS-13
256,343,Program Analyst,2,Office of Personnel Management,Office of Personnel Management,DC,2017-02-28,2017-03-21,21 days 00:00:00.000000000,True,False,False,False,GS-14
257,1035,Public Affairs Specialist,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-03,3 days 00:00:00.000000000,True,False,False,False,GS-12
258,343,Virtual Chat Session with NRCS Current and Previous PMFs,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Services,DC,2017-02-28,2017-02-28,0 days 00:00:00.000000000,True,False,False,False,GS-12
259,301,Program Officer,1,Millennium Challenge Corporation,Millennium Challenge Corporation,DC,2017-03-22,2017-04-05,14 days 00:00:00.000000000,False,True,True,False,GS-13
260,1035,Public Affairs Officer,1,Department of State,Department of State,DC,2017-03-30,2017-03-30,0 days 00:00:00.000000000,False,True,False,False,GS-12
261,343,Program Analyst,1,Office of Personnel Management,Office of Personnel Management,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,True,False,False,GS-13
262,130,Foreign Affairs Officer,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-03-06,2017-03-15,9 days 00:00:00.000000000,True,False,False,False,GS-12
263,0,Program Analyst,2,Department of Commerce,Department of Commerce / National Oceanic and Atmospheric Administration,MD,2017-02-28,2017-03-07,7 days 00:00:00.000000000,True,True,True,False,GS-12
265,1035,Public Affairs Specialist,1,Department of the Interior,Department of the Interior / Bureau of Reclamation,DC,2017-02-28,2017-03-06,6 days 00:00:00.000000000,True,True,True,False,GS-12
266,343,Management and Program Analyst,1,Department of Education,Department of Education / Office of Postsecondary Education,DC,2017-02-28,2017-03-09,9 days 00:00:00.000000000,True,False,False,False,GS-12
267,1320,Chemist,3,Environmental Protection Agency,Environmental Protection Agency,DC,2017-02-27,2017-04-15,47 days 00:00:00.000000000,False,False,True,False,GS-13
268,1530,Statistician,3,Environmental Protection Agency,Environmental Protection Agency,DC,2017-02-28,2017-04-30,61 days 00:00:00.000000000,False,True,False,False,GS-13
269,893,Chemist/Engineer/Industrial Hygienist,10,Environmental Protection Agency,Environmental Protection Agency,DC,2017-02-28,2017-04-30,61 days 00:00:00.000000000,False,True,False,False,GS-13
270,685,Public Health Program Specialist,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-02-28,2017-03-10,10 days 00:00:00.000000000,False,True,False,False,GS-13
271,401,Biologist/toxicologist (Environmental Health Assessor,10,Environmental Protection Agency,Environmental Protection Agency,DC,2017-02-28,2017-04-30,61 days 00:00:00.000000000,False,True,False,False,GS-13
272,560,Budget Analyst,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-02-28,2017-03-14,14 days 00:00:00.000000000,True,False,False,False,GS-12
273,401,Biologist/Toxicolgist (Human Health Assessor,10,Environmental Protection Agency,Environmental Protection Agency,DC,2017-02-28,2017-04-30,61 days 00:00:00.000000000,False,True,False,False,GS-13
274,160,Civil Rights Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Office of the Secretary of Health and Human Services,DC,2017-02-28,2017-03-08,8 days 00:00:00.000000000,True,True,False,False,GS-12
275,601,Environmental Health Scientist (Epidemiologist,3,Environmental Protection Agency,Environmental Protection Agency,DC,2017-02-28,2017-04-30,61 days 00:00:00.000000000,False,True,False,False,GS-13
276,343,Program Analyst,1,Department of the Interior,Department of the Interior / Office of the Secretary,DC,2017-02-28,2017-03-07,7 days 00:00:00.000000000,False,False,True,False,GS-13
277,801,General Engineer,1,Department of Commerce,Department of Commerce / Bureau of Industry and Security,DC,2017-02-28,2017-03-15,15 days 00:00:00.000000000,False,False,True,False,GS-13
278,343,Management and Program Analyst,1,Department of Homeland Security,Department of Homeland Security / Immigration and Customs Enforcement,DC,2017-02-28,2017-03-17,17 days 00:00:00.000000000,False,True,False,False,GS-12
279,401,Natural Resources Specialist,1,Department of Agriculture,Department of Agriculture / Natural Resources Conservation Services,DC,2017-03-01,2017-03-07,6 days 00:00:00.000000000,True,False,False,False,GS-12
280,107,Health Insurance Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,WA,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
280,107,Health Insurance Specialist,2,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,DC,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
280,107,Health Insurance Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,MD,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
280,107,Health Insurance Specialist,4,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,MD,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
280,107,Health Insurance Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,IL,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
280,107,Health Insurance Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,MO,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
281,101,Social Science Research Analyst,2,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,DC,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
281,101,Social Science Research Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,MD,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
281,101,Social Science Research Analyst,5,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,MD,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
282,343,Management Analyst,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Medicare & Medicaid Services,MD,2017-03-06,2017-03-10,4 days 00:00:00.000000000,True,True,False,False,GS-12
283,560,Budget Analyst,1,Department of State,Department of State,DC,2017-03-18,2017-03-23,5 days 00:00:00.000000000,True,False,False,False,GS-11
284,343,Management Analyst,1,Department of State,Department of State / Eastern Regional Personnel Center,DC,2017-03-02,2017-03-09,7 days 00:00:00.000000000,True,False,False,False,GS-12
285,601,Epidemiologist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-03-02,2017-03-09,7 days 00:00:00.000000000,False,True,False,False,GS-13
286,301,Congressional Liaison Specialist,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-03-06,2017-03-17,11 days 00:00:00.000000000,True,False,False,False,GS-13
288,1410,Librarian,1,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-03-07,2017-04-30,54 days 00:00:00.000000000,True,True,False,False,GS-12
289,101,Social Scientist,1,Department of the Treasury,Department of the Treasury / Internal Revenue Service,DC,2017-03-07,2017-04-17,41 days 00:00:00.000000000,True,True,False,False,GS-12
290,301,Policy Analyst,1,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,DC,2017-03-08,2017-03-22,14 days 00:00:00.000000000,True,False,False,False,GS-12
291,510,Accountant,1,Department of Homeland Security,Department of Homeland Security / U.S. Coast Guard,DC,2017-03-08,2017-03-29,21 days 00:00:00.000000000,True,False,False,False,GS-13
293,1109,Grants Management Specialist,10,Department of Health and Human Services,Department of Health and Human Services / Office of the Secretary of Health and Human Services,DC,2017-03-30,2017-04-03,4 days 00:00:00.000000000,True,True,True,False,GS-12
294,343,Program Analyst,1,National Science Foundation,National Science Foundation,VA,2017-03-13,2017-03-22,9 days 00:00:00.000000000,True,True,False,False,GS-12
295,201,Human Resource Specialist,15,Department of Homeland Security,Department of Homeland Security / U.S. Secret Service,DC,2017-03-08,2017-03-24,16 days 00:00:00.000000000,True,False,False,False,GS-12
296,201,Human Resource Specialist,15,Department of Homeland Security,Department of Homeland Security / U.S. Secret Service,DC,2017-03-08,2017-03-24,16 days 00:00:00.000000000,True,False,False,False,GS-12
297,685,Public Health Analyst (Policy),2,Department of Health and Human Services,Department of Health and Human Services / Food and Drug Administration,MD,2017-04-13,2017-04-26,13 days 00:00:00.000000000,True,False,False,False,GS-12
298,201,Human Resource Specialist,15,Department of Homeland Security,Department of Homeland Security / U.S. Secret Service,DC,2017-03-08,2017-03-24,16 days 00:00:00.000000000,True,False,False,False,GS-12
300,501,Financial Management Analyst ? 0501,1,Department of State,Department of State,DC,2017-03-16,2017-03-30,14 days 00:00:00.000000000,True,False,False,False,GS-12
301,101,Social Science Analyst,10,Department of Health and Human Services,Department of Health and Human Services / Office of the Secretary of Health and Human Services,DC,2017-03-20,2017-04-03,14 days 00:00:00.000000000,True,True,True,False,GS-13
302,560,Budget Analyst,15,Department of Homeland Security,Department of Homeland Security / U.S. Secret Service,DC,2017-03-09,2017-03-31,22 days 00:00:00.000000000,True,False,False,False,GS-12
303,501,Financial Systems Analyst,15,Department of Homeland Security,Department of Homeland Security / U.S. Secret Service,DC,2017-03-09,2017-03-31,22 days 00:00:00.000000000,True,False,False,False,GS-13
304,801,General Engineer,4,Department of the Air Force,Department of the Air Force / Space Command and NORAD,CA,2017-03-09,2017-03-24,15 days 00:00:00.000000000,True,False,False,False,GS-12
305,260,Equal Employment Opportunity Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Food and Drug Administration,MD,2017-05-04,2017-05-17,13 days 00:00:00.000000000,False,True,False,False,GS-13
308,1101,Acquisition Program Management Specialist,36,Department of the Air Force,Department of the Air Force / Space Command and NORAD,CA,2017-03-09,2017-03-23,14 days 00:00:00.000000000,True,False,False,False,GS-12
310,1102,Contract Specialist,5,Department of the Air Force,Department of the Air Force / Space Command and NORAD,CA,2017-03-09,2017-03-22,13 days 00:00:00.000000000,True,False,False,False,GS-12
311,1102,Contract Specialist,5,Department of the Air Force,Department of the Air Force / Space Command and NORAD,CA,2017-03-09,2017-03-22,13 days 00:00:00.000000000,True,False,False,False,GS-12
312,301,Policy Advisor,1,Department of the Treasury,Department of the Treasury / Departmental Offices,DC,2017-03-10,2017-03-28,18 days 00:00:00.000000000,True,True,False,False,GS-13
313,560,Budget Analyst,15,Department of Homeland Security,Department of Homeland Security / U.S. Secret Service,DC,2017-03-09,2017-03-31,22 days 00:00:00.000000000,True,False,False,False,GS-12
314,2210,Information Technology Specialist,15,Department of Homeland Security,Department of Homeland Security / U.S. Secret Service,DC,2017-03-09,2017-03-24,15 days 00:00:00.000000000,True,False,False,False,GS-13
315,343,Program Analyst,1,Environmental Protection Agency,Environmental Protection Agency,DC,2017-03-10,2017-03-24,14 days 00:00:00.000000000,True,False,False,False,GS-13
316,110,Economist,1,Environmental Protection Agency,Environmental Protection Agency,DC,2017-03-10,2017-03-24,14 days 00:00:00.000000000,False,True,False,False,GS-13
317,560,Budget Analyst,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-03-10,2017-03-17,7 days 00:00:00.000000000,True,True,False,False,GS-13
318,671,Health System Specialist,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,CA,2017-03-10,2017-03-24,14 days 00:00:00.000000000,True,True,False,False,GS-12
319,685,Public Health Analyst (Policy),2,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-03-14,2017-03-21,7 days 00:00:00.000000000,True,False,False,False,GS-12
320,893,Chemist /Chemical Engineer,5,Environmental Protection Agency,Environmental Protection Agency,DC,2017-03-14,2017-04-03,20 days 00:00:00.000000000,True,False,False,False,GS-13
321,501,Financial Management Analyst,1,Department of Education,Department of Education / Office of the Chief Financial Officer,DC,2017-03-14,2017-03-22,8 days 00:00:00.000000000,True,False,False,False,GS-13
322,501,Financial Assurance and Risk Management Analyst,1,Department of the Interior,Department of the Interior / Bureau of Ocean Energy Management,LA,2017-03-14,2017-03-28,14 days 00:00:00.000000000,False,False,True,False,GS-13
323,301,Regulatory Specialist,1,Department of the Interior,Department of the Interior / Bureau of Ocean Energy Management,LA,2017-03-14,2017-03-28,14 days 00:00:00.000000000,True,False,False,False,GS-11
324,510,Accountant,2,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-03-15,2017-03-17,2 days 00:00:00.000000000,True,False,False,False,GS-12
325,1102,Contracting Specialist,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-03-15,2017-03-17,2 days 00:00:00.000000000,True,False,False,False,GS-13
326,301,Executive Assistant,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",DC,2017-03-15,2017-03-28,13 days 00:00:00.000000000,True,True,False,False,GS-13
327,560,Budget Analyst,1,Department of Justice,"Department of Justice / Offices, Boards and Divisions",DC,2017-03-15,2017-03-28,13 days 00:00:00.000000000,True,False,False,False,GS-13
329,343,Program Analyst,1,U.S. Agency for International Development,U.S. Agency for International Development,DC,2017-03-15,2017-03-17,2 days 00:00:00.000000000,True,False,False,False,GS-12
330,671,Health Systems Specialist (Workforce Development),1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,NY,2017-03-16,2017-03-30,14 days 00:00:00.000000000,False,True,False,False,GS-13
331,301,Program Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,PA,2017-03-16,2017-03-21,5 days 00:00:00.000000000,False,True,False,False,GS-13
331,301,Program Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,WV,2017-03-16,2017-03-21,5 days 00:00:00.000000000,False,True,False,False,GS-13
331,301,Program Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,OH,2017-03-16,2017-03-21,5 days 00:00:00.000000000,False,True,False,False,GS-13
331,301,Program Specialist,1,Department of Health and Human Services,Department of Health and Human Services / Centers for Disease Control and Prevention,GA,2017-03-16,2017-03-21,5 days 00:00:00.000000000,False,True,False,False,GS-13
332,130,Foreign Affairs Officer,1,Department of State,Department of State,DC,2017-03-18,2017-03-23,5 days 00:00:00.000000000,True,False,False,False,GS-11
333,2210,IT Specialist,1,Department of State,Department of State,DC,2017-04-05,2017-04-19,14 days 00:00:00.000000000,False,True,False,False,GS-11
334,343,Program Analyst,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,NC,2017-03-20,2017-03-24,4 days 00:00:00.000000000,False,True,False,False,GS-12
335,343,Program Analyst,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,NC,2017-03-20,2017-03-24,4 days 00:00:00.000000000,False,True,False,False,GS-12
337,1082,Writer/Editor,1,Department of Veterans Affairs,Department of Veterans Affairs / Veterans Health Administration,NC,2017-03-20,2017-03-24,4 days 00:00:00.000000000,False,True,False,False,GS-12
338,301,Trade Enforcement Analyst,1,Executive Office of the President,Executive Office of the President / Office of the U.S. Trade Representative,DC,2017-03-21,2017-04-28,38 days 00:00:00.000000000,True,True,False,False,GS-13
